Date,Open,High,Low,Close,Volume
2012-02-08,39.673,39.673,37.806,37.912,511
2012-02-09,37.902,37.982,37.902,37.982,100
2012-02-10,38.195,38.342,37.823,38.342,159
2012-02-13,38.441,38.441,38.237,38.237,332
2012-02-14,38.176,38.211,38.017,38.017,298
2012-02-15,38.581,38.872,38.371,38.872,58696
2012-02-16,39.242,39.242,38.758,39.057,18992
2012-02-17,39.242,39.242,38.371,38.431,68095
2012-02-20,38.689,38.689,38.52,38.52,413
2012-02-21,38.529,38.529,38.503,38.503,9
2012-02-22,40.009,40.009,38.581,38.581,12
2012-02-23,38.581,38.581,38.141,38.141,129
2012-02-24,38.107,38.107,38,38,103
2012-02-27,38,38,37.664,37.77,237
2012-02-28,37.47,37.47,37.47,37.47,110
2012-02-29,37.47,37.745,37.461,37.461,87
2012-03-01,37.543,37.797,37.461,37.461,218
2012-03-02,37.736,37.955,37.736,37.955,200
2012-03-05,39.55,39.55,38.204,38.204,271
2012-03-06,38.035,38.157,37.99,37.99,175
2012-03-07,38,38.405,38,38.405,345
2012-03-08,38.529,38.529,37.814,37.814,223
2012-03-09,38,38,37.912,37.912,454
2012-03-13,38.651,38.651,38.651,38.651,10
2012-03-14,39.251,39.588,39.251,39.499,389
2012-03-15,39.409,39.763,39.409,39.763,36
2012-03-16,39.673,39.683,39.673,39.683,34
2012-03-19,40.115,40.115,39.279,39.279,37
2012-03-20,39.279,39.392,39.279,39.286,265
2012-03-21,39.286,39.286,39.286,39.286,20
2012-03-22,39.596,39.596,39.173,39.173,2263
2012-03-26,39.103,39.103,39.103,39.103,10
2012-03-27,39.419,39.419,39.409,39.409,40
2012-03-28,39.409,39.454,39.409,39.454,23
2012-03-29,39.26,39.26,39.26,39.26,201
2012-04-02,39.217,39.242,39.217,39.235,17043
2012-04-03,39.235,39.322,39.235,39.322,115
2012-04-04,39.409,39.673,39.409,39.673,119
2012-04-05,39.359,39.868,39.359,39.868,106
2012-04-10,40.071,40.071,39.428,39.569,165
2012-04-11,39.235,39.235,39.235,39.235,140
2012-04-12,38.794,39.304,38.794,39.235,239
2012-04-13,39.492,39.492,39.492,39.492,3
2012-04-16,39.349,39.711,39.349,39.711,57
2012-04-17,40.071,40.071,39.437,39.437,62
2012-04-18,39.648,39.648,39.648,39.648,36
2012-04-19,39.745,39.745,39.446,39.446,3460
2012-04-23,40.115,40.115,40.115,40.115,3425
2012-04-24,38.969,39.314,38.926,38.926,7949
2012-04-25,39.349,39.349,38.943,38.943,5815
2012-04-26,39.145,39.145,39.145,39.145,34
2012-04-27,39.826,39.826,39.721,39.763,62
2012-04-30,39.656,39.656,39.235,39.235,164
2012-05-02,39.648,39.904,39.648,39.904,15
2012-05-07,39.286,39.286,39.286,39.286,94
2012-05-08,39.286,39.286,39.094,39.094,164
2012-05-09,39.103,39.103,39.103,39.103,5
2012-05-10,39.826,39.826,39.826,39.826,2
2012-05-11,39.897,39.897,39.897,39.897,35
2012-05-14,40.337,40.337,39.922,40.161,334
2012-05-15,40.293,40.768,40.293,40.768,122
2012-05-16,40.91,40.91,40.663,40.91,600
2012-05-17,40.732,40.732,40.673,40.673,53
2012-05-18,40.203,40.203,40.064,40.064,79
2012-05-21,39.673,39.673,39.673,39.673,4
2012-05-22,39.913,40.195,39.913,40.195,78
2012-05-23,40.803,40.803,40.591,40.591,27
2012-05-24,40.654,41.048,40.654,41.048,24
2012-05-28,41.192,41.252,41.192,41.252,42
